Company;Company URL;HQ Location;Country;Founded;Estimated Headcount;Known Customers;Strengths;Weaknesses;Discipline;Lifecycle Phase;Workflow Segment;Subsegment;Sector Focus;Category/Function Tags;Operating Model Tags;Differentiation Tags;Manufacturing Type;Industries Served;Investment List;Subcategories;Company Group;Latest Funding Round;Startup Lifecycle Phase;Lastest Funding Event Year;Latest Event Funding Amount;Total Current Known Funding Level;Current Estimated Annual Revenue;Estimated Market Value;Financials Notes;Investors and VCs;Market Opportunity;Market Opportunity Justification;Team & Execution;Team & Execution Justification;Technology Differentiation;Technology Differentiation Justification;Funding Efficiency;Funding Efficiency Justification;Growth Metrics;Growth Metrics Justification;Industry Impact;Industry Impact Justification;Competitive Moat;Competitive Moat Justification
Oden Technologies;https://oden.io/;New York, United States;🇺🇸 United States;2014;50;Southwire, Sonoco, Viakable, Greif, Teknor Apex, Lake Cable, INX International Ink;$52.5M total funding, doubled recurring revenue YoY, real-time manufacturing analytics, strong customer base;Crowded manufacturing analytics space, competing with Braincube and TwinThread;Analytics;Production;Manufacturing Analytics;Real-Time Analytics;Paper Pulp, Wire Cable, Chemicals, Packaging;Manufacturing Analytics, Real-Time Optimization, AI/ML;SaaS, Platform;Real-time data capture and AI analytics for production optimization;Process, Discrete;Paper Pulp, Wire Cable, Chemicals, Packaging, Consumer Goods;04-Factory Futures (MES, IIOT);Manufacturing Analytics, Production Optimization;Oden Technologies;Series B;Growth;2024;28500000;52500000;15000000;105000000;$28.5M Series B led by Nordstjernan Growth, revenue doubling YoY;Nordstjernan Growth, Flat Capital, INX International Ink, Recurring Capital Partners, EQT Ventures;4.0;Large addressable market for manufacturing optimization;3.5;50 employees across 5 continents, strong enterprise customers;3.5;Real-time production analytics with AI recommendations;3.0;$52.5M raised with doubling revenue;3.5;Revenue doubling YoY, strong enterprise traction;3.5;Direct production efficiency impact;3.0;Good customer base but competitive analytics market
One Robot;https://www.onerobot.io;San Francisco, United States;🇺🇸 United States;2025;4;N A;YC W26, founders from Google + NASA JPL + Tesla, world model-based robot simulation, solves VLA eval bottleneck;Extremely early, pre-revenue, unproven product;Robotics;Design;Robot Simulation;World Models;Robotics, AI;World Models, Robot Simulation, VLA Training;SaaS, Platform;Task-specific world models for realistic robot policy training and eval;N A;Robotics, AI, Manufacturing;09-SW+HW=Innovation (Robotics, Drones);World Models, Robot Simulation, VLA;One Robot;Pre-Seed;Pre-Seed;2026;500000;500000;0;1500000;YC W26 batch;Y Combinator;3.5;Growing need for robot simulation as VLA adoption accelerates;4.0;Exceptional pedigree (Google, NASA JPL, Tesla, McLaren);4.0;Novel world model approach vs generic physics engines;2.0;Very early with minimal funding;1.0;Pre-revenue, pre-launch;3.0;Could accelerate robot policy development significantly;2.5;Novel approach but early, large simulation players exist
Orangewood Labs;https://www.orangewood.co;San Francisco, United States;🇺🇸 United States;2016;79;N A;YC-backed, affordable AI-powered cobots, RoboGPT natural language programming, $12.6M revenue, R&D in India;Limited funding ($4.65M), competing against established cobot players (UR, FANUC);Robotics;Production;Collaborative Robotics;AI-Powered Cobots;Manufacturing, Visual Inspection;Collaborative Robots, AI Robot Programming, Computer Vision;Hardware + Software;Affordable AI-powered robot arms with natural language programming (RoboGPT);Discrete;Manufacturing, Inspection, Painting, Bin Picking;09-SW+HW=Innovation (Robotics, Drones);Collaborative Robots, AI Programming;Orangewood Labs;Series A;Growth;2023;4500000;4650000;12600000;88200000;$4.65M total raised, $12.6M revenue, 79 employees;Y Combinator, 7percent Ventures, VentureSouq, KSK Angel Fund, Schox Venture Capital;4.0;Cobot market growing 30%+ annually;3.5;79 employees, $12.6M revenue, strong India R&D team;3.5;RoboGPT for natural language robot programming is differentiated;5.0;$12.6M revenue on $4.65M funding is exceptional capital efficiency;4.0;$12.6M revenue, 79 employees, scaling well;3.5;Making industrial robotics accessible to smaller manufacturers;3.0;Affordable pricing is differentiator but larger players have resources
Outrider;https://www.outrider.ai/;Golden, United States;🇺🇸 United States;2017;150;N A;$270M total funding, autonomous electric yard trucks, 100K+ autonomous trailer moves, Fortune 500 customers;High burn rate relative to revenue, narrow yard automation niche;Robotics;Operations;Autonomous Vehicles;Yard Automation;Logistics, Supply Chain, Distribution;Autonomous Trucks, Yard Automation, Electric Vehicles;Hardware + Software, Robotics-as-a-Service;Autonomous electric yard trucks for distribution hub operations;N A;Logistics, Supply Chain, Distribution, Warehousing;09-SW+HW=Innovation (Robotics, Drones);Autonomous Yard Trucks, Logistics Automation;Outrider;Series D;Late Stage;2024;62000000;270000000;20000000;140000000;$62M Series D led by Koch Disruptive Technologies + NEA;Koch Disruptive Technologies, New Enterprise Associates, 8VC, Prologis Ventures, NVentures (Nvidia), Lineage Ventures, FM Capital;4.0;Yard automation is a growing niche within logistics ($5B+ TAM);4.0;150 employees, 100K+ autonomous moves, Fortune 500 pipeline;4.0;Autonomous electric yard trucks with robotic trailer coupling;2.0;$270M raised with limited visible revenue;3.0;100K+ autonomous moves, expanding Fortune 500 deployments;3.5;Automating critical logistics bottleneck;3.5;First-mover in autonomous yard operations with significant deployment
Parallax Worlds;https://www.parallaxworlds.com/;San Francisco, United States;United States 🇺🇸;2023;15;Orangewood Labs, BotBuilt, Rainier Labs;Proprietary video-to-3D AI creates hyper-realistic factory digital twins from iPhone scans, integrates with NVIDIA Omniverse and Unreal and Unity;Very early stage with limited funding, narrow focus on robotics simulation only;Robotics;Design & Simulation;Simulation & Digital Twin;Robotics Simulation;Robotics, Manufacturing, Construction;Digital Twin, Simulation, Robotics Testing;SaaS, B2B;Video-to-3D AI, Sim-to-Real Transfer;Discrete;Robotics, Manufacturing, Construction;05-Cognitive Thread (PLM, MBSE, DT);Digital Twin, Robotics Simulation;Robotics Simulation;Seed;Seed;2025;4000000;4900000;0;14700000;$4.9M total (pre-seed + seed), Pear VC led seed round;Pear VC, Kakao Ventures;3.5;Growing demand for sim-to-real robot validation in factories;3.0;Stanford robotics pedigree (founders from Stanford/UIUC/BMW/Michelin) but very small team;3.5;Unique iPhone-based 3D capture for factory digital twins differentiates from heavier solutions;2.5;Early stage with only $4.9M raised;2.0;Pre-revenue with only 5 signed customers;3.0;Addresses critical gap in robot deployment validation;2.5;Competing with NVIDIA Omniverse and larger simulation platforms
Parsable;https://parsable.com/;San Francisco, United States;United States 🇺🇸;2013;80;Grupo Bimbo, Georgia-Pacific, Henkel, Shell, Suntory, Yara, Reyes Coca-Cola Bottling, Holcim;Blue-chip customer base across 130+ countries in 14 languages, proven connected worker platform for manufacturing;Acquired by CAI Software in 2024 limiting independent growth, competitive connected worker market;Manufacturing;Operations;Connected Worker;Frontline Worker Platform;Manufacturing, Energy, CPG;Connected Worker, Digital Work Instructions, Safety, Quality;SaaS, B2B, Platform;Enterprise-Scale Connected Worker with Multi-Language Global Deployment;Process, Discrete;CPG, Oil & Gas, Chemicals, Paper & Packaging, Transportation, Energy;06-Augmented Operations (MOM, MRO, AR/VR, SLM);Connected Worker Platform, Digital Work Instructions;Connected Worker;Acquired;Late Stage;2020;60000000;133000000;15000000;105000000;$133M total funding, acquired by CAI Software (STG portfolio) Sept 2024;Lightspeed Venture Partners, Activate Capital, Glade Brook Capital Partners, Future Fund, B37 Ventures, Cisco Investments, Honeywell, Saudi Aramco Energy Ventures, Downing Ventures, Evolv Ventures, Alumni Ventures Group, Princeville Capital;3.5;Connected worker platforms growing rapidly in manufacturing digitization;3.5;Proven global deployment across tier-1 manufacturers;3.0;Solid platform but crowded connected worker market with competitors like Tulip and Augmentir;3.0;$133M raised with acquisition exit to CAI Software;3.0;Deployed in 130+ countries with major enterprise customers;3.5;Transforming frontline manufacturing operations at global scale;2.5;Acquired - no longer independent, many competitors in connected worker space
Pashi;https://pashi.com;San Francisco, United States;United States 🇺🇸;2017;8;N A;Unified manufacturing OS covering operator interfaces and robot control and production flow in single platform, YC-backed;Very early stage with minimal funding ($500K), unproven at scale;Manufacturing;Operations;Manufacturing Execution;Production OS;Manufacturing;Manufacturing OS, Production Planning, Robot Control, Operator Interface;SaaS, B2B;Single Platform Unifying All Production Logic from Operator to Robot;Discrete;General Manufacturing;04-Factory Futures (MES, IIOT);Manufacturing OS, Production Control;Manufacturing OS;Pre-Seed;Pre-Seed;2020;500000;500000;0;1500000;$500K convertible note, YC-backed;Y Combinator;3.0;Manufacturing execution systems are a large market;2.0;Very small team with limited traction evidence;2.5;Interesting unified approach but unproven technology;1.5;Only $500K raised, very early;1.0;No known customers or revenue disclosed;2.5;Potential to simplify factory software stack;1.5;No evident moat against established MES players
PassiveLogic;https://passivelogic.com/;Salt Lake City, United States;United States 🇺🇸;2016;149;N A;AI-driven autonomous building platform with 30% energy savings, strong investor syndicate including NVIDIA and Johnson Controls, $74M Series C;Niche focus on building automation may limit TAM, long sales cycles in commercial real estate;Building Automation;Operations;Autonomous Systems;Autonomous Buildings;Construction, Real Estate, Smart Buildings;Autonomous Buildings, Digital Twin, Physical AI, Energy Optimization;SaaS, Hardware+Software;Generalized Autonomy Engine for Physical Building Systems;N A;Commercial Real Estate, Smart Buildings;08-Bleeding Edge BIM (AEC/BIM);Autonomous Buildings, Physical AI;Autonomous Buildings;Series C;Growth;2025;74000000;125000000;29400000;205800000;$125M+ total ($16M A + $34M B + $74M C), $29.4M est. revenue;Noa, Addition, NVentures (NVIDIA), Keyframe, Brookfield, Prologis Ventures, Johnson Controls, PSP Growth, RET Ventures, Era Ventures, A/O PropTech;4.0;$1.3T autonomous buildings market opportunity by 2030;4.0;149 employees, strong strategic investors (NVIDIA, Johnson Controls, Prologis);4.0;Proprietary Hive system with on-site GPU clusters for real-time building autonomy;3.5;$29.4M revenue on $125M funding shows reasonable efficiency;3.5;Growing revenue with 149-person team;4.0;30% energy savings proven, addresses massive building decarbonization need;3.5;Strategic investors create ecosystem lock-in, deep domain expertise
Path Robotics;https://www.path-robotics.com/;Columbus, United States;United States 🇺🇸;2018;168;N A;AI-powered autonomous welding with zero-programming setup, handles parts up to 70ft, strong $341M funding;Capital intensive hardware business, limited to welding applications, concentrated in US/Canada;Manufacturing;Production;Robotic Welding;Autonomous Welding;Heavy Industry, Fabrication, Shipbuilding, Energy;Autonomous Welding, AI Vision, Robotic Manufacturing;Hardware+Software, B2B;Zero-Programming Autonomous Welding with AI Vision for Large-Scale Parts;Discrete;Heavy Industry, Energy, Shipbuilding, Construction, Defense;03-Adaptive Manufacturing (AM, CAM);Autonomous Welding, Robotic Manufacturing;Autonomous Welding;Series D;Growth;2024;100000000;341000000;0;1023000000;$341M total raised, $100M Series D in 2024;Matter Venture Partners, Drive Capital, Tiger Global, Addition, Basis Set, Lemnos, Yamaha Ventures, Taiwania Capital, MediaTek, Catapult Ventures, Gaingels, Asahi Kasei, Doosan Investment;4.0;Critical welder shortage in US manufacturing creates strong demand;3.5;168 employees, strong engineering team founded by welding-experienced brothers;4.0;Proprietary AI vision and control for autonomous welding requiring no programming;3.0;$341M raised but no disclosed revenue yet;2.5;Revenue not publicly disclosed despite significant funding;4.0;Addresses severe skilled welder shortage in manufacturing;3.5;Deep technical moat in autonomous welding AI, hard to replicate
Pattern Project;https://www.pattern-project.com/;London, United Kingdom;United Kingdom 🇬🇧;2019;10;N A;AI-powered production scheduling for apparel and furniture factories, converts sketches to operation breakdowns;Very early stage with minimal funding, narrow vertical focus on fashion/apparel;Manufacturing;Planning;Production Scheduling;AI Production Planning;Apparel, Footwear, Furniture;AI Production Planning, Factory Scheduling, Fashion Tech;SaaS, B2B;AI Converts Sketches to Production Plans with Automatic Operation Breakdowns;Discrete;Apparel, Footwear, Furniture;04-Factory Futures (MES, IIOT);AI Production Planning, Fashion Manufacturing;AI Production Planning;Pre-Seed;Pre-Seed;2024;1500000;1500000;0;4500000;EUR 1.5M total (EUR 240K IUK grant + EUR 1.26M pre-seed);Dreamcraft Ventures, Alante Capital, Plug and Play EMEA, Carbon13, Ventures Together, PDS Ventures;2.5;Fashion manufacturing is fragmented but niche;2.0;Very small team (3-10 employees), early stage;3.0;Novel AI sketch-to-production-plan pipeline for fashion factories;2.0;Only EUR 1.5M raised at pre-seed;1.5;3 factory pilots but no disclosed revenue;2.5;Addresses overproduction waste in fashion industry;2.0;Low barriers to entry, narrow vertical
Pave Robotics;https://pave-robotics.com;San Jose, United States;United States 🇺🇸;2024;3;N A;YC-backed road repair robots working 24/7, founders from Mark Rober/Zipline/NASA JPL/Stanford;Extremely early stage with only 3 employees, unproven product-market fit;Infrastructure;Operations;Road Maintenance;Road Repair Robotics;Infrastructure, Construction;Road Repair, Autonomous Robots, Infrastructure Maintenance;Hardware+Software, B2B;Autonomous Road Crack-Sealing Robots Operating 24/7;N A;Infrastructure, Road Maintenance;09-SW+HW=Innovation (Robotics, Drones);Road Repair Robotics;Road Repair Robotics;Seed;Pre-Seed;2025;500000;500000;0;1500000;$500K from YC W25 batch, $5M seed reported;Y Combinator;3.0;$30B+ road maintenance market in US alone;2.5;Only 3 people but strong founder pedigree (Stanford, NASA JPL, Zipline);2.5;Early prototype for autonomous road crack sealing;2.0;Only $500K confirmed (YC), $5M seed reported;1.0;Pre-revenue, pre-product;3.0;Road infrastructure maintenance is massive underserved market;2.0;Early stage with no proven competitive advantage yet
Phantasma Labs;https://www.phantasma.global/;Berlin, Germany;Germany 🇩🇪;2018;12;N A;AI production planning using digital twins without needing big data, 200x faster than conventional scheduling, 30% better plans;Very small team and limited funding ($1.69M), narrow DACH market focus initially;Manufacturing;Planning;Production Planning & Scheduling;AI-Powered Scheduling;Automotive, Manufacturing;AI Production Planning, Digital Twin, Manufacturing Scheduling;SaaS, B2B;Simulation-Based AI Planning Without Big Data Requirements;Discrete;Automotive, Machine Tools, Manufacturing;04-Factory Futures (MES, IIOT);AI Production Scheduling;AI Production Scheduling;Seed;Seed;2024;1690000;1690000;0;5070000;$1.69M total, investors include Momenta and RunwayFBU;Momenta Ventures, RunwayFBU, Creative Destruction Lab, MobilityXlab, APEX Ventures;3.0;Production scheduling optimization is large established market;2.5;12-person team with industrial AI expertise;3.5;Novel approach combining digital twins with AI to avoid big data dependency;2.0;Only $1.69M raised, very capital efficient but constrained;1.5;Customers in DACH market but no revenue disclosed;3.0;Addresses real pain point of production planning complexity;2.5;Unique sim-to-AI approach but larger players entering space
Photonium;https://www.photonium.ai/;San Francisco, United States;United States 🇺🇸;2025;5;N A;YC-backed AI-powered optical design automation, founders from Harvard physics and Stanford computational physics;Extremely early stage (founded 2025), niche optical design market;Engineering;Design;Optical Design Automation;AI Optical Design;Semiconductor, Defense, Biomedical, Quantum;AI Optical Design, Design Automation, EDA for Optics;SaaS, B2B;EDA-Style Automation Platform for Optical System Design;N A;Semiconductor, Defense, Biomedical, Quantum, Autonomous Vehicles;01-Design Intelligence (CAD);Optical Design Automation;Optical Design Automation;Seed;Pre-Seed;2025;500000;500000;0;1500000;$500K YC-backed, investors include 3cap, 468 Capital, Exitfund, Soma Capital;Y Combinator, 3cap, 468 Capital, Exitfund, Soma Capital, Transpose Platform Management;3.5;Optical systems critical across quantum, LiDAR, biomedical, semiconductor;3.0;Harvard physics + Stanford computational physics founders, small but elite;3.5;Novel AI approach to optical design analogous to EDA for semiconductors;2.0;Only $500K raised, very early;1.0;Pre-revenue, just launched mid-2025;3.0;Could transform optical engineering workflow;2.5;First-mover in AI optical design but market is niche
Physical Intelligence;https://www.physicalintelligence.company/;San Francisco, United States;United States 🇺🇸;2024;191;N A;$1.07B total funding at $5.6B valuation, world-class team from Google DeepMind and Stanford and UC Berkeley, first generalist robot foundation model (pi-zero);Pre-revenue with massive burn rate, foundation model approach unproven at commercial scale;Robotics;Design & Operations;Foundation Models;Robot Foundation Models;Robotics, General Purpose;Robot Foundation Models, Physical AI, Generalist Robotics;Platform, B2B;First Generalist Robot Foundation Model Controlling Any Robot for Any Task;N A;General Purpose Robotics;09-SW+HW=Innovation (Robotics, Drones);Robot Foundation Models;Robot Foundation Models;Series B;Growth;2025;600000000;1070000000;0;5600000000;$1.07B total ($70M seed + $400M A + $600M B), $5.6B valuation;CapitalG (Alphabet), Jeff Bezos, Lux Capital, Thrive Capital, Sequoia Capital, OpenAI, Khosla Ventures, Amazon;5.0;Massive TAM for general-purpose robot intelligence;5.0;World-class team from Google DeepMind, Stanford, UC Berkeley, 191 employees;5.0;Pi-zero is first generalist robot foundation model, paradigm-shifting;2.0;$1.07B raised with zero revenue, high burn;1.5;Pre-revenue, pre-commercial deployment;5.0;Could define the entire future of robot intelligence;4.5;Top-tier team and technology with massive funding creates strong moat
Piggy Robotics;https://piggyrobotics.com;Oxford, United Kingdom;United Kingdom 🇬🇧;2025;16;N A;Built full humanoid robot in 2 months for under $1000 using artificial muscles, 16-engineer team from Oxford;Extremely early stage, unproven commercial model, home robotics market is notoriously difficult;Robotics;Design & Production;Humanoid Robotics;Consumer Humanoid Robots;Consumer, Home;Humanoid Robots, Artificial Muscles, Consumer Robotics;Hardware+Software, B2C;Pneumatic Artificial Muscle Humanoid at iPhone Price Point;N A;Consumer, Home;09-SW+HW=Innovation (Robotics, Drones);Consumer Humanoid Robots;Consumer Humanoid Robots;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;YC F25 batch, estimated $500K;Y Combinator;3.5;Huge consumer robotics market if price point achieved;3.0;16-person Oxford engineering team assembled rapidly;3.5;Novel pneumatic artificial muscle approach at sub-$1000 cost;2.0;Only YC funding so far;1.0;Pre-revenue, prototype stage;3.5;Sub-$1000 humanoid could democratize home robotics;2.0;Very early with unproven technology at consumer scale
Pivot Robotics;https://pivotrobotics.com/;San Francisco, United States;United States 🇺🇸;2023;5;N A;Hit $1M revenue with only 5 people, YC-backed AI vision for robotic arms in foundries, zero-shot adaptation;Very small team, limited funding ($500K), narrow initial use case (grinding);Manufacturing;Production;Robotic Manufacturing;AI Robot Control;Manufacturing, Foundry;AI Vision, Robotic Arms, Manufacturing Automation;SaaS+Hardware, B2B;Zero-Shot AI Adaptation for Industrial Robot Arms in High-Mix Manufacturing;Discrete;Metal Fabrication, Foundry;03-Adaptive Manufacturing (AM, CAM);AI Robot Control, Manufacturing Automation;AI Robotic Vision;Seed;Seed;2024;500000;500000;1000000;7000000;$500K seed from YC and NuVentures, $1M revenue achieved;Y Combinator, NuVentures, MyAsiaVC, Pioneer Fund, Unpopular Ventures;3.5;High-mix manufacturing automation has strong demand;3.5;$1M revenue with only 5 people shows strong execution;3.5;Zero-shot adaptation to new parts without programming is differentiated;4.5;$1M revenue on $500K funding is exceptional capital efficiency;4.0;$1M revenue in first year with 5 employees;3.5;Making dangerous foundry work safer and more consistent;3.0;AI vision approach is replicable but execution speed is strong
Plethora;https://www.plethora.com/;San Francisco, United States;United States 🇺🇸;2013;0;N A;Pioneered software-driven CNC machining with automated quoting and DFM feedback;Went bankrupt in 2022, assets auctioned, failed business model;Manufacturing;Production;CNC Machining;On-Demand Manufacturing;Aerospace, Defense, Medical Devices, Automotive;CNC Machining, On-Demand Manufacturing, Digital Manufacturing;Hardware+Software, B2B;Software-Automated CNC Machining with Instant DFM Feedback;Discrete;Aerospace, Defense, Medical Devices, Automotive, Consumer Electronics;11-Exit;On-Demand CNC Machining;On-Demand CNC;Bankrupt;Dead;2021;0;36500000;0;0;$36.5M total raised over 7 rounds, bankrupt 2022, assets auctioned;Google Ventures, Founders Fund, Western Technology Investment;2.0;On-demand manufacturing market exists but margins are thin;2.0;Founded by Nick Pinkston, unable to achieve sustainable operations;3.0;Innovative software-driven approach to CNC was ahead of its time;1.0;$36.5M raised with zero return - complete loss;1.0;Went bankrupt, assets liquidated at auction in Feb 2022;2.0;Demonstrated potential of software-driven manufacturing;1.0;No moat - business failed and competitors like Xometry succeeded
Polymath Robotics;https://polymathrobotics.com/;San Francisco, United States;United States 🇺🇸;2021;18;N A;Plug-and-play autonomy for any industrial vehicle via REST API, $1.7M revenue, founder previously built Starsky Robotics;Limited funding ($500K), small team, niche off-highway focus;Robotics;Operations;Autonomous Vehicles;Off-Highway Autonomy;Agriculture, Mining, Logistics, Defense;Autonomous Vehicles, Off-Highway, Industrial Automation;SaaS, B2B;Universal REST API Autonomy Layer for Any Industrial Vehicle;N A;Agriculture, Mining, Logistics, Defense, Airport Ground Support;09-SW+HW=Innovation (Robotics, Drones);Off-Highway Autonomous Vehicles;Off-Highway Autonomy;Seed;Seed;2022;500000;500000;1700000;11900000;$500K seed, $1.7M revenue achieved;Y Combinator, Samsara Ventures, Pioneer Fund, Liquid 2 Ventures, Unpopular Ventures;3.5;Large off-highway vehicle autonomy market across mining, agriculture, logistics;3.5;Founder Stefan Seltz-Axmacher previously built Starsky Robotics, 18 employees;3.5;Universal plug-and-play autonomy via REST API is highly differentiated;5.0;$1.7M revenue on only $500K funding is outstanding;4.0;$1.7M revenue with 18 employees shows strong growth;3.5;Autonomy for industrial vehicles improves safety and efficiency;3.0;API-based approach is defensible but larger players (NVIDIA, Waymo) could enter
Proception Inc;https://proception.ai;Palo Alto, United States;United States 🇺🇸;2024;11;N A;Ex-Tesla Optimus engineers building advanced humanoid hands, YC-backed, functional prototype in 4 months;Very early stage with only $500K, Tesla lawsuit risk (sued by Tesla over trade secrets);Robotics;Design & Production;Humanoid Robotics;Dexterous Robot Hands;Robotics, Manufacturing, Healthcare;Humanoid Hands, Dexterous Manipulation, Robotics;Hardware+Software, B2B;Human-Like Dexterous Robot Hands with Real Interaction Data Training;N A;Robotics, Healthcare, Manufacturing;09-SW+HW=Innovation (Robotics, Drones);Dexterous Humanoid Hands;Dexterous Robot Hands;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;$500K YC seed, preparing for research customer shipments;Y Combinator;4.0;Dexterous manipulation is critical bottleneck for humanoid robotics;3.5;Ex-Tesla Optimus team with deep humanoid robotics expertise, 11 employees;4.0;Novel approach using real human interaction data for dexterous hand training;2.0;Only $500K raised from YC;1.0;Pre-revenue, still in prototype phase;4.0;Dexterous hands are key enabler for entire humanoid robotics industry;3.0;Deep domain expertise but Tesla lawsuit creates uncertainty
Raven;https://raven.ai;Ottawa, Canada;Canada 🇨🇦;2013;80;Walmart, Danaher, Michelin, Coca-Cola, STERIS, ECCO Mfg;Leading AIM platform for manufacturing with real-time OEE analytics and AI-driven downtime tracking;Limited to discrete manufacturing analytics - niche positioning may limit TAM;Manufacturing Engineering;Production & Operations;Production Monitoring;OEE & Downtime Tracking;Discrete Manufacturing;AI-Powered Manufacturing Analytics, OEE Software, Downtime Tracking;SaaS, Platform;Real-Time Production Intelligence, Augmented Industrial Management;Discrete Manufacturing;Food & Beverage, Consumer Goods, Industrial Products, Medical Devices;04-Factory Futures (MES, IIOT);OEE Analytics, Production Monitoring, AI Manufacturing Assistants;Industrial Software;Series A;Growth;2023;12000000;20800000;5000000;35000000;Series A led by Momenta Ventures and Chartline Capital Partners Jan 2023;Momenta Ventures, Chartline Capital Partners, Celtic House Venture Partners, Export Development Canada, Tobi Lutke (Shopify), Rob Ashe;3.5;Strong demand for factory floor intelligence and OEE optimization;3.5;YC alumni team with domain expertise in manufacturing operations;3.5;Proprietary AIM platform with mobile hardware and AI analytics;3.0;$20.8M raised over 10 years - moderate capital efficiency;3.0;Blue-chip customer base including Walmart and Michelin;3.5;Serving Fortune 100 manufacturers with measurable efficiency gains;3.0;Competes with Sight Machine, Tulip, MachineMetrics in crowded space
Reframe;https://www.reframe.systems;Andover, United States;United States 🇺🇸;2022;67;N A;Ex-Amazon Robotics founders with 500K+ robot deployment experience building scalable microfactories for housing;Early stage - first microfactory only 16K sqft and limited to housing vertical;Construction Engineering;Design & Build;Modular Construction;Prefabricated Housing Microfactories;Construction, Housing;Robotic Microfactory, Modular Construction, Physical AI;RaaS, Microfactory;Amazon Robotics DNA, Localized Microfactories, Net-Zero Homes;Modular Construction;Residential Construction, Affordable Housing, Disaster Recovery;03-Adaptive Manufacturing (AM, CAM);Robotic Microfactories, Prefab Construction, AI-Powered Assembly;Construction Technology;Series A;Growth;2025;20000000;25800000;N A;180600000;$20M Series A Aug 2025 co-led by Eclipse and VoLo Earth Ventures;Eclipse, VoLo Earth Ventures, MassMutual Catalyst Funds, Cubit Capital, RA Capital Management, Saga Ventures, Nor'easter Ventures;4.5;4.5M US housing shortage plus construction labor deficit of 500K workers;4.5;Ex-Amazon Robotics execs who deployed 500K+ robots at scale;4.0;Proprietary microfactory combining robotics with digital work instructions and high-performance materials;3.5;$25.8M raised to build scalable microfactory model;3.5;Plans to produce 5 homes per week per microfactory;4.0;Addressing acute housing crisis with scalable robotic construction;3.5;Strong founding team but early in proving out microfactory model at scale
Regrello;https://www.regrello.com;San Francisco, United States;United States 🇺🇸;2021;44;Salesforce (acquirer);AI-native supply chain workflow automation with agentic process engine - validated by Salesforce acquisition;Acquired by Salesforce in 2025 - no longer independent;Supply Chain Management;Cross-Company Operations;Workflow Automation;Supply Chain Collaboration;Cross-Industry;Supply Chain Workflow, Agentic AI, Process Automation;SaaS, Platform;AI-Native Workflow Engine, Cross-Company Collaboration;Discrete Manufacturing;Aerospace, Defense, Electronics, Automotive;07-Streamlined Supply Chain (SCM);Supply Chain Workflow Automation, Agentic Process Engine;Enterprise Software;Acquired;Exit;2025;N A;25300000;N A;N A;Acquired by Salesforce Oct 2025 - purchase price undisclosed;Andreessen Horowitz, Tiger Global Management, Dell Technologies Capital, Bloomberg Beta, Hitachi Ventures, Salesforce, Sherpalo Ventures;4.0;Validated by Salesforce acquisition for agentic workflow automation;4.0;Founded by Aman Naimat with strong AI and enterprise background;4.0;AI-native workflow engine that attracted Salesforce acquisition;4.5;$25.3M raised then acquired by Salesforce - excellent outcome;3.5;44 employees pre-acquisition with blue-chip investors;4.5;Salesforce acquisition validates manufacturing workflow AI category;4.0;Strong enough moat to attract Salesforce strategic acquisition
Remy AI;https://www.tryremy.ai;San Francisco, United States;United States 🇺🇸;2025;2;N A;YC W2026 backed flexible warehouse automation robots for e-commerce 3PLs addressing 80% unautomated warehouses;Extremely early stage with only 2 employees and no disclosed funding amount;Warehouse Automation;Operations;Logistics Automation;Dexterous Warehouse Robotics;E-Commerce Logistics;Warehouse Robotics, Dexterous Manipulation, 3PL Automation;RaaS;Flexible Brownfield Automation, Low-Cost Dexterous Robots;N A;E-Commerce, Third-Party Logistics;09-SW+HW=Innovation (Robotics, Drones);Warehouse Robotics, Dexterous Manipulation;Robotics;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;YC W2026 batch - standard $500K investment assumed;Y Combinator;3.5;80% of US warehouses unautomated - large addressable market;2.5;Very early founding team of 2 with YC backing;3.0;Building flexible dexterous robots for brownfield warehouse integration;2.0;Extremely early stage with minimal funding;1.5;Pre-revenue with 2-person team;3.0;Targeting underserved small-to-mid warehouse segment;2.0;Very early - no proven technology moat yet
